poltype	hbtype	occurence
3VAL	SuperRing_1	0.94
3VAL	SuperRing_2	0.78
3VAL	SuperRing_3	0.63
2THR	SuperRing_1	0.66
2THR	SuperRing_2	0.39
2THR	SuperRing_3	0.61
1ALAGLY	SuperRing_1	0.82
1ALAGLY	SuperRing_2	0.69
1ALAGLY	SuperRing_3	0.74
1ALA	SuperRing_1	0.89
1ALA	SuperRing_2	0.86
1ALA	SuperRing_3	0.82
1GLY	SuperRing_1	0.44
1GLY	SuperRing_2	0.52
1GLY	SuperRing_3	0.61
2ASN	SuperRing_1	0.96
2ASN	SuperRing_2	0.59
2ASN	SuperRing_3	0.33
3ILE	SuperRing_1	0.69
3ILE	SuperRing_2	0.83
3ILE	SuperRing_3	0.64
