"","displacement","forcedispav","forcera20"
"1",0,375.015,378.6953874893
"2",-0.127974139027488,NA,275.229310779571
"3",-0.300867422660516,NA,NA
"4",-0.0806209275361738,NA,298.448957271694
"5",-0.0208217262469894,NA,371.899649154985
"6",-0.303338084250376,NA,NA
"7",-0.155736795773596,NA,324.593882038914
"8",-0.0967736468337943,NA,306.951664706433
"9",-0.0611817768541121,NA,289.333854347572
"10",-0.235218797627526,NA,387.146188669685
"11",0.0613485794480582,NA,363.165447135617
"12",-0.0299541672952026,NA,336.294030746958
"13",0.0861061350082046,NA,416.518991698297
"14",0.135879204117582,NA,440.328396871853
"15",0.0285509579864094,NA,325.738753262239
"16",-0.11237812947131,NA,294.205757408353
"17",0.0227374859195075,NA,344.179928370271
"18",-0.108360754917976,NA,275.527239972216
"19",0.0365959177379818,NA,310.768016068851
"20",-0.0336612500775919,NA,280.60887243037
"21",-0.260937666064072,NA,365.098440014575
"22",-0.0883874843661534,NA,322.233395587234
"23",-0.102484603220296,NA,288.153547141652
"24",0.0830831185360967,NA,372.708172840797
"25",0.0233270350180321,NA,334.54822402385
"26",-0.168289058763324,NA,342.689052089864
"27",-0.0715722976298565,NA,286.953114226249
"28",-0.0146417350379373,NA,374.331804150409
"29",-0.00871881086443338,NA,373.191702481493
"30",0.0492510480321187,NA,384.096736769435
"31",0.00501048160599105,NA,331.016428949296
"32",0.0827177999918334,NA,350.912171441936
"33",-0.305480406737175,NA,NA
"34",-0.127770733216987,NA,277.143538057372
"35",-0.153076192057074,NA,315.54158447221
"36",0.0451192744602364,NA,358.464757655074
"37",0.0986330248053955,NA,444.689475634267
"38",0.00727719340288679,NA,357.449256710461
"39",-0.0651976488002131,NA,283.644681407479
"40",0.0552259590484692,NA,373.861739942992
"41",0.0850595532906713,NA,360.552938497307
"42",-0.0272428659487653,NA,302.814530901625
"43",0.00793588707354953,NA,347.930104611662
"44",0.201555416025836,NA,469.851844744508
"45",-0.0561605844975226,NA,290.394176894211
"46",0.0533058893630374,NA,372.900306104128
"47",-0.088834376064761,NA,315.324401626221
"48",-0.122961655764004,NA,274.915667027994
"49",-0.074668163358055,NA,295.729563612858
"50",-0.0573866175986559,NA,266.361867446469
"51",-0.136042478421832,NA,284.906408928796
"52",-0.0399016472222771,NA,325.947811863585
"53",0.0275040668564897,NA,294.595283022639
"54",-0.051838158943978,NA,304.588948700082
"55",-0.17288606631034,NA,346.907470406701
"56",-0.054587922818909,NA,304.324295842203
"57",0.144536169120934,NA,402.134097017815
"58",-0.159295149163035,NA,319.242554219261
"59",0.121662966847532,NA,350.291588046231
"60",0.108470481953058,NA,381.214429510064
"61",0.0461934865537863,NA,353.426097579933
"62",0.1001850078803,NA,432.377146691982
"63",-0.106490583275934,NA,285.978884457979
"64",0.0227602079714915,NA,340.784898583511
"65",0.0654324144742917,NA,383.009503324826
"66",-0.109385785690283,NA,305.687204216503
"67",-0.0283686629125395,NA,322.384067329263
"68",-0.19416030794542,NA,394.182062687678
"69",-0.355165274085598,NA,NA
"70",-0.264930630687015,NA,NA
"71",-0.344287985352324,NA,NA
"72",-0.0386022856132557,NA,315.606429823399
"73",0.134307152908083,NA,444.141152040938
"74",-0.140189583024862,NA,300.124368563648
"75",-0.140618057499955,NA,300.176324470202
"76",-0.138657774617436,NA,291.716205372193
"77",-0.116388686182515,NA,277.674567577562
"78",-0.108129150294137,NA,276.473436625542
"79",-0.0134531436998273,NA,349.215888920978
"80",0.0595305487736031,NA,363.866103022012
"81",0.00375773953582836,NA,360.163441832008
"82",-0.188551689994066,NA,374.553102034521
"83",-0.313639071622345,NA,NA
"84",-0.287917943036473,NA,NA
"85",-0.0310883468471763,NA,307.942474021916
"86",-0.0879510897059488,NA,315.027021657456
"87",0.0600500061740235,NA,351.025275084158
"88",0.127401523118825,NA,378.309796014101
"89",-0.0264692833675273,NA,302.546355379641
"90",-0.164491963535381,NA,332.172440115314
"91",-0.238961981008762,NA,367.361520571686
"92",-0.108302526423577,NA,282.138085875582
"93",-0.186253506119078,NA,362.190595753701
"94",0.0479395332097656,NA,388.756162155832
"95",0.0307513304482612,NA,291.148057457715
"96",-0.115798233307809,NA,271.814667438892
"97",0.200918726251302,NA,461.501586438248
"98",0.306827677953899,NA,556.442926973624
"99",-0.0599015223893407,NA,271.084535806481
"100",0.108533746581235,NA,385.820435075184
"101",-0.420167847398496,NA,NA
"102",-0.075827747230643,NA,281.6801192796
"103",-0.0489275194762211,NA,271.949146267226
"104",-0.0442430038229631,NA,302.99586995991
"105",0.233067348520739,NA,519.352032374097
"106",0.112125850701574,NA,397.244517440115
"107",-0.0309263680978829,NA,319.120975918451
"108",-0.0452085725880558,NA,286.963196479001
"109",-0.233578063705367,NA,388.376328003293
"110",-0.0400292185854756,NA,334.895699724602
"111",0.188826763486185,NA,542.093175473058
"112",0.00985692726056797,NA,372.775907976183
"113",0.0183360323880333,NA,347.029764989343
"114",-0.0284411233286965,NA,342.576231736716
"115",-0.0205037980858247,NA,395.190958595584
"116",0.290550294921145,NA,524.61646612528
"117",-0.186780570216282,NA,369.12567411373
"118",-0.0822509229303012,NA,289.023544249049
"119",0.180814513160981,NA,408.595552498441
"120",-0.104606795718834,NA,285.77245951165
"121",-0.130862927222448,NA,251.906539575515
"122",-0.222752648942956,NA,397.995334394075
"123",-0.0620010494508483,NA,284.278489207803
"124",0.0495242725251899,NA,361.155531904197
"125",-0.0631998397069484,NA,278.010869565065
"126",-0.0496521980221543,NA,294.925439294597
"127",-0.0705964029047568,NA,317.250916944827
