poltype	hbtype	occurence
3VAL	SuperRing_1	0.93
3VAL	SuperRing_2	0.54
3VAL	SuperRing_3	0.08
2THR	SuperRing_1	0.84
2THR	SuperRing_2	0.51
2THR	SuperRing_3	0.21
1ALAGLY	SuperRing_1	0.86
1ALAGLY	SuperRing_2	0.67
1ALAGLY	SuperRing_3	0.42
1ALA	SuperRing_1	0.89
1ALA	SuperRing_2	0.77
1ALA	SuperRing_3	0.64
1GLY	SuperRing_1	0.56
1GLY	SuperRing_2	0.42
1GLY	SuperRing_3	0.23
2ASN	SuperRing_1	0.54
2ASN	SuperRing_2	0.62
2ASN	SuperRing_3	0.45
3ILE	SuperRing_1	0.79
3ILE	SuperRing_2	0.71
3ILE	SuperRing_3	0.53
