poltype	hbtype	occurence
3VAL	SuperRing_1	0.92
3VAL	SuperRing_2	0.83
3VAL	SuperRing_3	0.2
2THR	SuperRing_1	0.6
2THR	SuperRing_2	0.27
2THR	SuperRing_3	0.41
1ALAGLY	SuperRing_1	0.79
1ALAGLY	SuperRing_2	0.64
1ALAGLY	SuperRing_3	0.43
1ALA	SuperRing_1	0.86
1ALA	SuperRing_2	0.82
1ALA	SuperRing_3	0.55
1GLY	SuperRing_1	0.62
1GLY	SuperRing_2	0.59
1GLY	SuperRing_3	0.38
2ASN	SuperRing_1	0.96
2ASN	SuperRing_2	0.61
2ASN	SuperRing_3	0.16
3ILE	SuperRing_1	0.27
3ILE	SuperRing_2	0.47
3ILE	SuperRing_3	0.43
