poltype	hbtype	occurence
3VAL	SuperRing_1	0.75
3VAL	SuperRing_2	0.78
3VAL	SuperRing_3	0.14
2THR	SuperRing_1	0.22
2THR	SuperRing_2	0.18
2THR	SuperRing_3	0.11
1ALAGLY	SuperRing_1	0.8
1ALAGLY	SuperRing_2	0.66
1ALAGLY	SuperRing_3	0.53
1ALA	SuperRing_1	0.91
1ALA	SuperRing_2	0.82
1ALA	SuperRing_3	0.59
1GLY	SuperRing_1	0.47
1GLY	SuperRing_2	0.47
1GLY	SuperRing_3	0.35
2ASN	SuperRing_1	0.86
2ASN	SuperRing_2	0.76
2ASN	SuperRing_3	0.32
3ILE	SuperRing_1	0.91
3ILE	SuperRing_2	0.59
3ILE	SuperRing_3	0.2
