datatype	polymer	mean	std
hbadjmcsc	polyisoleucine_turing	0.1	0.0
hbadjmcsc	polyisoleucine_78	0.57	0.0
hbadjmcsc	polyisoleucine_server191	0.09	0.0
hbadjscsc	polyala-gly	0.0	0.0
hbadjscsc	polyala_constrained	0.0	0.0
hbadjscsc	polyalanine_default	0.0	0.0
hbadjscsc	polyasparagine	2.04	0.54
hbadjscsc	polygly_constrained	0.0	0.0
hbadjscsc	polyglycine	0.0	0.0
hbadjscsc	polyisoleucine	0.0	0.0
hbadjscsc	polythreonine	0.49	0.54
hbadjscsc	polyvaline	0.0	0.0
hbadjscsc	polyisoleucine_turing	0.0	0.0
hbadjscsc	polyisoleucine_78	0.0	0.0
hbadjscsc	polyisoleucine_server191	0.0	0.0
hbadjp2mcmcstoch	polyala-gly	0.25	0.09
hbadjp2mcmcstoch	polyala_constrained	0.71	0.33
hbadjp2mcmcstoch	polyalanine_default	1.06	0.4
hbadjp2mcmcstoch	polyasparagine	0.68	0.1
hbadjp2mcmcstoch	polygly_constrained	0.63	0.23
hbadjp2mcmcstoch	polyglycine	0.45	0.26
hbadjp2mcmcstoch	polyisoleucine	0.77	0.04
hbadjp2mcmcstoch	polythreonine	0.75	0.19
hbadjp2mcmcstoch	polyvaline	1.18	0.56
hbadjp2mcmcstoch	polyisoleucine_turing	0.74	0.0
hbadjp2mcmcstoch	polyisoleucine_78	0.54	0.0
hbadjp2mcmcstoch	polyisoleucine_server191	0.54	0.0
hbadjp2mcscstoch	polyala-gly	0.0	0.0
hbadjp2mcscstoch	polyala_constrained	0.01	0.01
hbadjp2mcscstoch	polyalanine_default	0.0	0.0
hbadjp2mcscstoch	polyasparagine	0.08	0.05
hbadjp2mcscstoch	polygly_constrained	0.0	0.0
hbadjp2mcscstoch	polyglycine	0.0	0.0
hbadjp2mcscstoch	polyisoleucine	0.23	0.1
hbadjp2mcscstoch	polythreonine	0.8	0.68
hbadjp2mcscstoch	polyvaline	0.25	0.05
hbadjp2mcscstoch	polyisoleucine_turing	0.1	0.0
hbadjp2mcscstoch	polyisoleucine_78	0.57	0.0
hbadjp2mcscstoch	polyisoleucine_server191	0.09	0.0
hbadjp2scscstoch	polyala-gly	0.0	0.0
hbadjp2scscstoch	polyala_constrained	0.0	0.0
hbadjp2scscstoch	polyalanine_default	0.0	0.0
hbadjp2scscstoch	polyasparagine	0.71	0.11
hbadjp2scscstoch	polygly_constrained	0.0	0.0
hbadjp2scscstoch	polyglycine	0.0	0.0
hbadjp2scscstoch	polyisoleucine	0.0	0.0
hbadjp2scscstoch	polythreonine	0.23	0.19
hbadjp2scscstoch	polyvaline	0.0	0.0
hbadjp2scscstoch	polyisoleucine_turing	0.0	0.0
hbadjp2scscstoch	polyisoleucine_78	0.0	0.0
hbadjp2scscstoch	polyisoleucine_server191	0.0	0.0
hbadjp2mcmcstab	polyala-gly	1.35	0.58
hbadjp2mcmcstab	polyala_constrained	2.11	0.27
hbadjp2mcmcstab	polyalanine_default	2.35	0.47
hbadjp2mcmcstab	polyasparagine	3.44	1.63
hbadjp2mcmcstab	polygly_constrained	1.21	0.18
hbadjp2mcmcstab	polyglycine	1.57	0.4
hbadjp2mcmcstab	polyisoleucine	2.89	1.84
hbadjp2mcmcstab	polythreonine	0.61	0.86
hbadjp2mcmcstab	polyvaline	2.62	0.52
hbadjp2mcmcstab	polyisoleucine_turing	4.57	0.0
hbadjp2mcmcstab	polyisoleucine_78	2.91	0.0
hbadjp2mcmcstab	polyisoleucine_server191	1.15	0.0
hbadjp2mcscstab	polyala-gly	0.0	0.0
hbadjp2mcscstab	polyala_constrained	0.0	0.0
hbadjp2mcscstab	polyalanine_default	0.0	0.0
hbadjp2mcscstab	polyasparagine	0.0	0.0
hbadjp2mcscstab	polygly_constrained	0.0	0.0
hbadjp2mcscstab	polyglycine	0.0	0.0
hbadjp2mcscstab	polyisoleucine	0.0	0.0
hbadjp2mcscstab	polythreonine	1.32	0.38
hbadjp2mcscstab	polyvaline	0.0	0.0
hbadjp2mcscstab	polyisoleucine_turing	0.0	0.0
hbadjp2mcscstab	polyisoleucine_78	0.0	0.0
hbadjp2mcscstab	polyisoleucine_server191	0.0	0.0
hbadjp2scscstab	polyala-gly	0.0	0.0
hbadjp2scscstab	polyala_constrained	0.0	0.0
hbadjp2scscstab	polyalanine_default	0.0	0.0
hbadjp2scscstab	polyasparagine	1.33	0.62
hbadjp2scscstab	polygly_constrained	0.0	0.0
hbadjp2scscstab	polyglycine	0.0	0.0
hbadjp2scscstab	polyisoleucine	0.0	0.0
hbadjp2scscstab	polythreonine	0.25	0.36
hbadjp2scscstab	polyvaline	0.0	0.0
hbadjp2scscstab	polyisoleucine_turing	0.0	0.0
hbadjp2scscstab	polyisoleucine_78	0.0	0.0
hbadjp2scscstab	polyisoleucine_server191	0.0	0.0
hballmcmc	polyala-gly	2.33	0.67
hballmcmc	polyala_constrained	2.82	0.15
hballmcmc	polyalanine_default	3.41	0.08
hballmcmc	polyasparagine	4.12	1.57
hballmcmc	polygly_constrained	2.66	0.57
hballmcmc	polyglycine	4.05	1.26
hballmcmc	polyisoleucine	3.66	1.85
hballmcmc	polythreonine	1.36	1.02
hballmcmc	polyvaline	3.8	0.15
hballmcmc	polyisoleucine_turing	5.3	0.0
hballmcmc	polyisoleucine_78	3.46	0.0
hballmcmc	polyisoleucine_server191	1.7	0.0
hballmcsc	polyala-gly	0.01	0.01
hballmcsc	polyala_constrained	0.04	0.01
hballmcsc	polyalanine_default	0.02	0.01
hballmcsc	polyasparagine	0.18	0.06
hballmcsc	polygly_constrained	0.0	0.0
hballmcsc	polyglycine	0.0	0.0
hballmcsc	polyisoleucine	0.23	0.1
hballmcsc	polythreonine	2.21	0.28
hballmcsc	polyvaline	0.25	0.05
hballmcsc	polyisoleucine_turing	0.1	0.0
hballmcsc	polyisoleucine_78	0.57	0.0
hballmcsc	polyisoleucine_server191	0.09	0.0
hballscsc	polyala-gly	0.0	0.0
hballscsc	polyala_constrained	0.0	0.0
hballscsc	polyalanine_default	0.0	0.0
hballscsc	polyasparagine	3.98	0.34
hballscsc	polygly_constrained	0.0	0.0
hballscsc	polyglycine	0.0	0.0
hballscsc	polyisoleucine	0.0	0.0
hballscsc	polythreonine	0.85	0.32
hballscsc	polyvaline	0.0	0.0
hballscsc	polyisoleucine_turing	0.0	0.0
hballscsc	polyisoleucine_78	0.0	0.0
hballscsc	polyisoleucine_server191	0.0	0.0
hballp2mcmcstoch	polyala-gly	0.74	0.2
hballp2mcmcstoch	polyala_constrained	0.71	0.33
hballp2mcmcstoch	polyalanine_default	1.06	0.4
hballp2mcmcstoch	polyasparagine	0.68	0.1
hballp2mcmcstoch	polygly_constrained	0.98	0.22
hballp2mcmcstoch	polyglycine	1.61	0.98
hballp2mcmcstoch	polyisoleucine	0.77	0.04
hballp2mcmcstoch	polythreonine	0.75	0.19
hballp2mcmcstoch	polyvaline	1.18	0.56
hballp2mcmcstoch	polyisoleucine_turing	0.74	0.0
hballp2mcmcstoch	polyisoleucine_78	0.54	0.0
hballp2mcmcstoch	polyisoleucine_server191	0.54	0.0
hballp2mcscstoch	polyala-gly	0.01	0.01
hballp2mcscstoch	polyala_constrained	0.04	0.01
hballp2mcscstoch	polyalanine_default	0.02	0.01
hballp2mcscstoch	polyasparagine	0.17	0.06
hballp2mcscstoch	polygly_constrained	0.0	0.0
hballp2mcscstoch	polyglycine	0.0	0.0
hballp2mcscstoch	polyisoleucine	0.23	0.1
hballp2mcscstoch	polythreonine	0.88	0.64
hballp2mcscstoch	polyvaline	0.25	0.05
hballp2mcscstoch	polyisoleucine_turing	0.1	0.0
hballp2mcscstoch	polyisoleucine_78	0.57	0.0
hballp2mcscstoch	polyisoleucine_server191	0.09	0.0
hballp2scscstoch	polyala-gly	0.0	0.0
hballp2scscstoch	polyala_constrained	0.0	0.0
hballp2scscstoch	polyalanine_default	0.0	0.0
hballp2scscstoch	polyasparagine	1.66	0.14
hballp2scscstoch	polygly_constrained	0.0	0.0
hballp2scscstoch	polyglycine	0.0	0.0
hballp2scscstoch	polyisoleucine	0.0	0.0
hballp2scscstoch	polythreonine	0.59	0.09
hballp2scscstoch	polyvaline	0.0	0.0
hballp2scscstoch	polyisoleucine_turing	0.0	0.0
hballp2scscstoch	polyisoleucine_78	0.0	0.0
hballp2scscstoch	polyisoleucine_server191	0.0	0.0
hballp2mcmcstab	polyala-gly	1.59	0.46
hballp2mcmcstab	polyala_constrained	2.11	0.27
hballp2mcmcstab	polyalanine_default	2.35	0.47
hballp2mcmcstab	polyasparagine	3.44	1.63
hballp2mcmcstab	polygly_constrained	1.68	0.44
hballp2mcmcstab	polyglycine	2.44	0.41
hballp2mcmcstab	polyisoleucine	2.89	1.84
hballp2mcmcstab	polythreonine	0.61	0.86
hballp2mcmcstab	polyvaline	2.62	0.52
hballp2mcmcstab	polyisoleucine_turing	4.57	0.0
hballp2mcmcstab	polyisoleucine_78	2.91	0.0
hballp2mcmcstab	polyisoleucine_server191	1.15	0.0
hballp2mcscstab	polyala-gly	0.0	0.0
hballp2mcscstab	polyala_constrained	0.0	0.0
hballp2mcscstab	polyalanine_default	0.0	0.0
hballp2mcscstab	polyasparagine	0.01	0.01
hballp2mcscstab	polygly_constrained	0.0	0.0
hballp2mcscstab	polyglycine	0.0	0.0
hballp2mcscstab	polyisoleucine	0.0	0.0
hballp2mcscstab	polythreonine	1.32	0.38
hballp2mcscstab	polyvaline	0.0	0.0
hballp2mcscstab	polyisoleucine_turing	0.0	0.0
hballp2mcscstab	polyisoleucine_78	0.0	0.0
hballp2mcscstab	polyisoleucine_server191	0.0	0.0
hballp2scscstab	polyala-gly	0.0	0.0
hballp2scscstab	polyala_constrained	0.0	0.0
hballp2scscstab	polyalanine_default	0.0	0.0
hballp2scscstab	polyasparagine	2.32	0.24
hballp2scscstab	polygly_constrained	0.0	0.0
hballp2scscstab	polyglycine	0.0	0.0
hballp2scscstab	polyisoleucine	0.0	0.0
hballp2scscstab	polythreonine	0.26	0.37
hballp2scscstab	polyvaline	0.0	0.0
hballp2scscstab	polyisoleucine_turing	0.0	0.0
hballp2scscstab	polyisoleucine_78	0.0	0.0
hballp2scscstab	polyisoleucine_server191	0.0	0.0
