datatype	polymer	mean	std
hbnadmcmc	polyala-gly	0.73	0.44
hbnadmcmc	polyala_constrained	0.0	0.0
hbnadmcmc	polyalanine_default	0.0	0.0
hbnadmcmc	polyasparagine	0.0	0.0
hbnadmcmc	polygly_constrained	0.82	0.21
hbnadmcmc	polyglycine	2.04	1.41
hbnadmcmc	polyisoleucine	0.0	0.0
hbnadmcmc	polythreonine	0.0	0.0
hbnadmcmc	polyvaline	0.0	0.0
hbnadmcmc	polyisoleucine_turing	0.0	0.0
hbnadmcmc	polyisoleucine_78	0.0	0.0
hbnadmcmc	polyisoleucine_server191	0.0	0.0
hbnadmcsc	polyala-gly	0.01	0.01
hbnadmcsc	polyala_constrained	0.04	0.02
hbnadmcsc	polyalanine_default	0.02	0.01
hbnadmcsc	polyasparagine	0.1	0.06
hbnadmcsc	polygly_constrained	0.0	0.0
hbnadmcsc	polyglycine	0.0	0.0
hbnadmcsc	polyisoleucine	0.0	0.0
hbnadmcsc	polythreonine	0.08	0.09
hbnadmcsc	polyvaline	0.0	0.0
hbnadmcsc	polyisoleucine_turing	0.0	0.0
hbnadmcsc	polyisoleucine_78	0.0	0.0
hbnadmcsc	polyisoleucine_server191	0.0	0.0
hbnadscsc	polyala-gly	0.0	0.0
hbnadscsc	polyala_constrained	0.0	0.0
hbnadscsc	polyalanine_default	0.0	0.0
hbnadscsc	polyasparagine	1.94	0.47
hbnadscsc	polygly_constrained	0.0	0.0
hbnadscsc	polyglycine	0.0	0.0
hbnadscsc	polyisoleucine	0.0	0.0
hbnadscsc	polythreonine	0.36	0.27
hbnadscsc	polyvaline	0.0	0.0
hbnadscsc	polyisoleucine_turing	0.0	0.0
hbnadscsc	polyisoleucine_78	0.0	0.0
hbnadscsc	polyisoleucine_server191	0.0	0.0
hbnadp2mcmcstoch	polyala-gly	0.49	0.24
hbnadp2mcmcstoch	polyala_constrained	0.0	0.0
hbnadp2mcmcstoch	polyalanine_default	0.0	0.0
hbnadp2mcmcstoch	polyasparagine	0.0	0.0
hbnadp2mcmcstoch	polygly_constrained	0.35	0.1
hbnadp2mcmcstoch	polyglycine	1.17	0.77
hbnadp2mcmcstoch	polyisoleucine	0.0	0.0
hbnadp2mcmcstoch	polythreonine	0.0	0.0
hbnadp2mcmcstoch	polyvaline	0.0	0.0
hbnadp2mcmcstoch	polyisoleucine_turing	0.0	0.0
hbnadp2mcmcstoch	polyisoleucine_78	0.0	0.0
hbnadp2mcmcstoch	polyisoleucine_server191	0.0	0.0
hbnadp2mcscstoch	polyala-gly	0.01	0.01
hbnadp2mcscstoch	polyala_constrained	0.04	0.02
hbnadp2mcscstoch	polyalanine_default	0.02	0.01
hbnadp2mcscstoch	polyasparagine	0.09	0.07
hbnadp2mcscstoch	polygly_constrained	0.0	0.0
hbnadp2mcscstoch	polyglycine	0.0	0.0
hbnadp2mcscstoch	polyisoleucine	0.0	0.0
hbnadp2mcscstoch	polythreonine	0.08	0.09
hbnadp2mcscstoch	polyvaline	0.0	0.0
hbnadp2mcscstoch	polyisoleucine_turing	0.0	0.0
hbnadp2mcscstoch	polyisoleucine_78	0.0	0.0
hbnadp2mcscstoch	polyisoleucine_server191	0.0	0.0
hbnadp2scscstoch	polyala-gly	0.0	0.0
hbnadp2scscstoch	polyala_constrained	0.0	0.0
hbnadp2scscstoch	polyalanine_default	0.0	0.0
hbnadp2scscstoch	polyasparagine	0.95	0.09
hbnadp2scscstoch	polygly_constrained	0.0	0.0
hbnadp2scscstoch	polyglycine	0.0	0.0
hbnadp2scscstoch	polyisoleucine	0.0	0.0
hbnadp2scscstoch	polythreonine	0.36	0.28
hbnadp2scscstoch	polyvaline	0.0	0.0
hbnadp2scscstoch	polyisoleucine_turing	0.0	0.0
hbnadp2scscstoch	polyisoleucine_78	0.0	0.0
hbnadp2scscstoch	polyisoleucine_server191	0.0	0.0
hbnadp2mcmcstab	polyala-gly	0.24	0.28
hbnadp2mcmcstab	polyala_constrained	0.0	0.0
hbnadp2mcmcstab	polyalanine_default	0.0	0.0
hbnadp2mcmcstab	polyasparagine	0.0	0.0
hbnadp2mcmcstab	polygly_constrained	0.47	0.27
hbnadp2mcmcstab	polyglycine	0.87	0.71
hbnadp2mcmcstab	polyisoleucine	0.0	0.0
hbnadp2mcmcstab	polythreonine	0.0	0.0
hbnadp2mcmcstab	polyvaline	0.0	0.0
hbnadp2mcmcstab	polyisoleucine_turing	0.0	0.0
hbnadp2mcmcstab	polyisoleucine_78	0.0	0.0
hbnadp2mcmcstab	polyisoleucine_server191	0.0	0.0
hbnadp2mcscstab	polyala-gly	0.0	0.0
hbnadp2mcscstab	polyala_constrained	0.0	0.0
hbnadp2mcscstab	polyalanine_default	0.0	0.0
hbnadp2mcscstab	polyasparagine	0.01	0.01
hbnadp2mcscstab	polygly_constrained	0.0	0.0
hbnadp2mcscstab	polyglycine	0.0	0.0
hbnadp2mcscstab	polyisoleucine	0.0	0.0
hbnadp2mcscstab	polythreonine	0.0	0.0
hbnadp2mcscstab	polyvaline	0.0	0.0
hbnadp2mcscstab	polyisoleucine_turing	0.0	0.0
hbnadp2mcscstab	polyisoleucine_78	0.0	0.0
hbnadp2mcscstab	polyisoleucine_server191	0.0	0.0
hbnadp2scscstab	polyala-gly	0.0	0.0
hbnadp2scscstab	polyala_constrained	0.0	0.0
hbnadp2scscstab	polyalanine_default	0.0	0.0
hbnadp2scscstab	polyasparagine	0.99	0.49
hbnadp2scscstab	polygly_constrained	0.0	0.0
hbnadp2scscstab	polyglycine	0.0	0.0
hbnadp2scscstab	polyisoleucine	0.0	0.0
hbnadp2scscstab	polythreonine	0.01	0.01
hbnadp2scscstab	polyvaline	0.0	0.0
hbnadp2scscstab	polyisoleucine_turing	0.0	0.0
hbnadp2scscstab	polyisoleucine_78	0.0	0.0
hbnadp2scscstab	polyisoleucine_server191	0.0	0.0
hbadjmcmc	polyala-gly	1.6	0.63
hbadjmcmc	polyala_constrained	2.82	0.15
hbadjmcmc	polyalanine_default	3.41	0.08
hbadjmcmc	polyasparagine	4.12	1.57
hbadjmcmc	polygly_constrained	1.84	0.36
hbadjmcmc	polyglycine	2.01	0.23
hbadjmcmc	polyisoleucine	3.66	1.85
hbadjmcmc	polythreonine	1.36	1.02
hbadjmcmc	polyvaline	3.8	0.15
hbadjmcmc	polyisoleucine_turing	5.3	0.0
hbadjmcmc	polyisoleucine_78	3.46	0.0
hbadjmcmc	polyisoleucine_server191	1.7	0.0
hbadjmcsc	polyala-gly	0.0	0.0
hbadjmcsc	polyala_constrained	0.01	0.01
hbadjmcsc	polyalanine_default	0.0	0.0
hbadjmcsc	polyasparagine	0.08	0.05
hbadjmcsc	polygly_constrained	0.0	0.0
hbadjmcsc	polyglycine	0.0	0.0
hbadjmcsc	polyisoleucine	0.23	0.1
hbadjmcsc	polythreonine	2.12	0.34
hbadjmcsc	polyvaline	0.25	0.05
